,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f12,kb1,ku1,kb2,ku2,bcoop,ucoop,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA12_min,DNA12_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
1783,6.6770000000000005,0.4474,0.3694,0.005285,0.2534,124.6,0.1313,0.009543000000000001,80.18,0.2977,1.656,0.01526,45.69,26.68,0.08693,0.21600000000000003,1,0,0,42.8,0.052779999999999994,0.1567,0.007490999999999999,0.023119999999999998,0.8006,0.8728,0.01927,0.1039,0.2657,0.6667,4.062,9.523,0.033589999999999995,0.1844,False,0.0
1784,6.346,0.5966,0.943,0.001125,0.9994,403.2,4.7589999999999995,99.19,0.00249,0.01404,0.691,11.78,0.1986,0.0185,0.4107,0.0515,1,0,0,20.8,0.01014,0.1229,0.000791,0.01097,0.3043,0.8211,0.08133,0.6789,0.6958,5.318,8.547,45.03,0.1812,5.027,False,0.0
1785,43.02,0.7353,5.675,0.029110000000000004,0.07017000000000001,0.8301,0.04249,0.002705,75.1,0.002168,0.002326,0.01001,0.01295,0.09856000000000001,0.1649,15.01,1,0,0,,,,,,,,,,,,,,,,False,1.0
1786,3.2539999999999996,0.1545,0.5033,0.0005627999999999999,0.015590000000000001,3.4160000000000004,0.059989999999999995,0.0569,11.92,0.003856,0.001419,0.0103,44.99,32.92,6.896,0.1065,1,0,0,539.3,0.5043,0.7437,0.05123,0.2612,0.006523999999999999,0.0412,0.1522,0.2589,0.1588,0.4326,3.365,9.057,0.05194,0.3738,False,1.0
1787,3.655,0.2002,0.73,0.02434,0.0126,0.2443,0.14400000000000002,81.94,0.003095,0.03292,19.63,70.55,0.04002,0.013430000000000001,5.982,0.1477,1,0,0,76.3,0.037989999999999996,0.1082,0.00672,0.01876,0.07088,0.1985,0.6999,0.8725,0.1253,0.3227,2.4659999999999997,4.9719999999999995,0.3149,1.084,False,0.0
1788,9.687999999999999,0.5315,1.6569999999999998,0.008487,0.041960000000000004,122.8,2.556,2.369,62.43,0.0232,0.003714,0.01548,5.28,232.1,0.3557,2.1590000000000003,1,0,0,75.5,0.315,0.3496,0.04974,0.06367,0.5812,0.6079,0.01407,0.01961,7.49,8.801,136.5,159.9,6.365,8.735,False,1.0
1789,0.7016,0.4445,0.07736,0.006314999999999999,0.276,54.06,0.1502,0.08922999999999999,84.23,0.015880000000000002,0.0508,0.01524,9.302,17.71,7.284,0.1218,1,0,0,132.9,0.02472,0.4961,0.001991,0.08904,0.02281,0.5064,0.19699999999999998,0.9283,0.985,10.29,1.614,15.4,0.01348,1.21,False,0.0
1790,1.715,0.6015,7.507999999999999,0.05223,0.18899999999999997,362.1,1.0959999999999999,0.001968,73.4,0.2093,22.5,0.01238,17.37,0.1607,0.1229,0.1183,1,0,0,169.2,0.14300000000000002,0.6308,0.005023,0.1031,0.3319,0.6578,0.019780000000000002,0.1328,0.1214,1.138,0.3687,3.1310000000000002,8.859999999999999e-05,0.005065,False,0.0
1791,0.3836,0.1279,0.8373,0.03522,0.03489,11.92,0.2383,71.51,0.821,0.002247,2.177,0.3914,0.028810000000000002,0.011170000000000001,9.468,0.2344,1,0,0,178.2,0.07003999999999999,0.452,0.01671,0.2315,0.008397,0.2295,0.37799999999999995,0.8248,0.4777,4.728,1.5759999999999998,11.37,0.00777,0.3755,False,0.0
1792,7.792000000000001,0.6093,1.79,0.04156,0.02797,13.95,0.4663,1.044,23.18,0.001325,0.04725,0.01286,2.8819999999999997,2.239,0.4952,0.05056,1,0,0,109.6,0.3533,0.5155,0.0263,0.1372,0.1137,0.3033,0.1827,0.4036,0.3604,0.9556,4.649,12.1,0.04373,0.2922,False,0.0
