,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA
50,2.46E-01,9.42E-01,3.11E-03,1.61E-02,1.97E-01,6.14E+01,6.32E-01,1.07E-03,1.31E-03,1.55E-02,1.51E-03,4.35E-01,6.13E-02,9.77E+00,2.75E-03,1.28E-01,3.54E-03,8.99E-02,4.39E+02,1.73E-01,8.31E+00,2.42E+00,1.55E+01,7.15E-01,2.03E+00,3.06E-01,7.40E+00,2.31E-01,1.00E+00,0.00E+00,0.00E+00
51,6.36E-02,7.98E-03,1.38E-01,1.20E-03,2.10E-02,5.99E+01,1.15E+00,5.95E-03,2.69E+01,2.61E-02,9.32E+01,1.87E-02,1.43E+00,2.62E+01,1.08E+00,2.89E-01,3.09E+00,3.52E+01,9.92E+02,1.51E+02,8.34E+00,3.35E+00,7.96E-01,2.99E-01,2.04E+00,4.24E-01,3.79E-01,9.64E-02,1.00E+00,0.00E+00,0.00E+00
52,4.97E+00,2.37E-01,1.17E-01,1.02E-02,1.20E-02,1.05E+00,6.27E-02,2.75E+00,1.43E-03,3.86E-01,6.13E-01,5.49E-02,7.27E-01,2.97E+01,6.28E-02,1.74E-03,1.36E+00,2.05E+00,5.97E+00,6.64E+01,2.67E-01,7.75E+00,3.42E-01,1.60E+01,6.52E-02,9.81E-01,1.63E-01,5.15E+00,1.00E+00,0.00E+00,0.00E+00
53,3.21E+01,2.23E-01,2.66E-01,2.08E-03,4.09E-01,6.03E+01,2.80E-02,3.49E-03,2.17E+00,1.78E-02,1.72E+01,1.32E-02,8.94E-03,2.42E+01,1.20E+00,4.06E-03,1.87E-01,3.92E+01,1.39E+01,9.12E+00,2.50E+00,1.48E+00,1.45E+01,1.71E+00,6.09E-01,1.87E-01,6.89E+00,5.52E-01,1.00E+00,0.00E+00,0.00E+00
54,1.39E+00,1.13E-02,3.98E-01,1.94E-02,1.08E-01,1.66E+02,1.42E-01,7.00E-03,4.36E-01,1.59E-02,2.54E-01,1.91E+00,8.11E-01,7.99E+01,7.34E-02,3.90E-02,1.19E-02,2.40E+00,1.34E+02,5.83E-01,6.38E+00,1.41E+00,4.94E+00,1.20E+01,1.56E+00,1.79E-01,2.35E+00,3.88E+00,1.00E+00,0.00E+00,0.00E+00
55,9.52E+01,2.58E-01,4.49E+00,6.74E-03,5.72E-02,4.22E+01,1.07E-01,5.45E-01,7.60E-01,3.00E+01,1.87E-03,2.74E-03,7.26E-02,9.58E+01,8.40E-03,2.21E-01,2.36E-01,2.74E-01,7.59E+02,1.15E+01,8.13E-01,1.69E+01,6.33E+00,1.89E-01,1.98E-01,2.14E+00,3.02E+00,6.08E-02,1.00E+00,0.00E+00,0.00E+00
56,9.94E-02,8.63E-02,3.94E-02,9.34E-04,2.53E-02,8.45E+01,3.74E+00,1.96E-03,4.44E+01,1.78E-02,1.77E-02,2.46E-02,1.03E+01,1.51E+01,1.01E+01,1.85E-02,6.45E-03,3.29E+02,6.34E+01,3.15E-01,6.80E-01,7.31E+00,1.18E+01,2.64E-01,1.66E-01,9.25E-01,5.60E+00,8.53E-02,1.00E+00,0.00E+00,0.00E+00
57,6.81E-01,9.96E-02,9.38E-03,8.52E-03,1.14E-01,5.87E+02,5.97E-02,1.19E+01,1.41E-02,2.32E-01,4.62E+01,3.62E-03,1.11E-03,5.04E+01,8.66E-01,8.88E-03,3.76E-02,2.83E+01,3.05E+01,1.84E+00,7.57E+00,1.55E+00,2.66E+00,5.48E-01,1.85E+00,1.96E-01,1.27E+00,1.77E-01,1.00E+00,0.00E+00,0.00E+00
58,6.35E-02,4.47E-03,1.57E-02,6.47E-03,1.24E-01,7.34E+02,9.04E-02,1.97E-01,1.02E+00,2.61E-01,2.36E-01,5.13E-01,2.50E-01,4.98E+01,1.31E-02,1.68E-01,2.61E-01,4.27E-01,5.75E+02,1.27E+01,4.05E+00,6.74E-01,4.01E-01,1.78E+00,9.89E-01,8.53E-02,1.91E-01,5.74E-01,1.00E+00,0.00E+00,0.00E+00
59,3.46E+01,5.24E-01,6.47E+00,8.54E-03,3.33E-02,7.33E+01,1.41E+00,2.27E+01,1.13E-02,4.49E-01,1.84E-03,1.39E-03,5.58E+00,9.84E+01,4.28E-02,1.95E-01,3.10E-03,1.40E+00,6.70E+02,1.52E-01,2.48E-01,1.57E+01,7.29E-01,1.66E+00,6.05E-02,1.99E+00,3.47E-01,5.34E-01,1.00E+00,0.00E+00,0.00E+00
60,1.19E+00,1.24E-01,2.24E-03,1.60E-02,3.15E-02,9.93E+01,4.80E-02,4.42E-02,3.97E+01,1.58E-03,2.25E-01,2.66E-03,3.28E+01,8.70E+00,2.48E-03,1.12E-02,1.10E-01,8.11E-02,3.83E+01,5.36E+00,3.04E+00,3.10E+00,2.51E+00,3.32E-01,7.41E-01,3.93E-01,1.20E+00,1.07E-01,1.00E+00,0.00E+00,0.00E+00
